chunk_id,source_id,record_type,word_count,page_start,page_end,section,rule,clause,heading,warning,audit_flags,severity,groups,text_excerpt
MSCS_ACT_2002_DOC,MSCS_ACT_2002,parent,6,6,77,,,,,CONTEXT_PARENT;SHORT_CHUNK,METADATA_REVIEW,REVIEW,B_SHORT,"The Multi-State Cooperative Societies Act, 2002"
MSCS_ACT_2002_CONTEXT_001,MSCS_ACT_2002,child,104,6,6,,,,,SECTION_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN,METADATA_REVIEW;MISSING_STRUCTURAL_ID;TOPIC_TAG_REVIEW,REVIEW,E_STRUCTURE,"The Multi-State Cooperative Societies Act, 2002

[Act No of 39 of 2002]

[3rd July 2002] An Act to consolidate and amend the law relating to cooperative societies, with objects not confined to one Sta"
MSCS_ACT_2002_SEC_1,MSCS_ACT_2002,child,89,6,6,1,,,"Short title, extent and commencement",,METADATA_REVIEW,REVIEW,,"Chapter I

Preliminary

1. Short title, extent and commencement

(1) This Act may be called the Multi-State Cooperative Societies Act,

2002.

(2) It extends to the whole of India.

(3) It shall come "
MSCS_ACT_2002_SEC_2,MSCS_ACT_2002,child,88,6,7,2,,,Application,,METADATA_REVIEW,REVIEW,,"2. Application

This Act shall apply to -

(a) all cooperative societies, with objects not confined to one State

which were incorporated before the commencement of this Act

(i) under the Cooperative"
MSCS_ACT_2002_SEC_3,MSCS_ACT_2002,child,661,7,8,3,,,Definitions,,METADATA_REVIEW,REVIEW,,"3. Definitions

In this Act, unless the context otherwise requires, -

(a) “area of operation” means the area from which the persons are

admitted as members;

(b) “board” means the board of directors"
MSCS_ACT_2002_SEC_4,MSCS_ACT_2002,child,147,8,9,4,,,Central Registrar,,METADATA_REVIEW,REVIEW,,"Chapter II

Central Registrar and Registration of Multi-State Cooperative Societies 4. Central Registrar

(1) The Central Government may appoint a person to be the Central

Registrar of Cooperative So"
MSCS_ACT_2002_SEC_5,MSCS_ACT_2002,child,89,9,9,5,,,Multi-state cooperative societies which may be registered,,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,,"5. Multi-state cooperative societies which may be registered

(1) No multi-state cooperative society shall be registered under this

Act, unless,

(a) its main objects are to serve the interests of me"
MSCS_ACT_2002_SEC_6,MSCS_ACT_2002,child,264,9,10,6,,,Application for registration,,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,,"6. Application for registration

(1) For the purposes of registration of a multi-state cooperative society

under this Act, an application shall be made to the Central Registrar in such form and with "
MSCS_ACT_2002_SEC_7,MSCS_ACT_2002,child,267,10,10,7,,,Registration,,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,,"7. Registration

(1) If the Central Registrar is satisfied

(a) that the application complies with the provisions of this Act and

the rules;

(b) that the proposed multi-state cooperative society sat"
MSCS_ACT_2002_SEC_8,MSCS_ACT_2002,child,54,10,10,8,,,Registration certificate,,METADATA_REVIEW,REVIEW,,"8. Registration certificate

Where a multi-state cooperative society is registered under this Act, the Central Registrar shall issue a certificate of registration signed by him, which shall be conclus"
MSCS_ACT_2002_SEC_9,MSCS_ACT_2002,child,120,11,11,9,,,Multi-state cooperative society to be body corporate,,METADATA_REVIEW,REVIEW,,"9. Multi-state cooperative society to be body corporate

(1) The registration of a multi-state cooperative society shall render it a

body corporate by the name under which it is registered having per"
MSCS_ACT_2002_SEC_10,MSCS_ACT_2002,parent,520,11,12,10,,,Bye-laws of multi-state cooperative societies,,METADATA_REVIEW,REVIEW,,"10. Bye-laws of multi-state cooperative societies

(1) Every multi-state cooperative society may make its bye-laws

consistent with the provisions of this act and the rules made thereunder.

(2) In pa"
MSCS_ACT_2002_SEC_10_SUB_1,MSCS_ACT_2002,child,21,11,11,10,,,Bye-laws of multi-state cooperative societies,,METADATA_REVIEW,REVIEW,,"(1) Every multi-state cooperative society may make its bye-laws

consistent with the provisions of this act and the rules made thereunder."
MSCS_ACT_2002_SEC_10_SUB_2,MSCS_ACT_2002,child,493,11,12,10,,,Bye-laws of multi-state cooperative societies,,METADATA_REVIEW,REVIEW,,"(2) In particular, and without prejudice to the generality of the foregoing

power, such bye-laws may provide for all or any of the following matters, namely:

(a) the name, address and area of operat"
MSCS_ACT_2002_SEC_11,MSCS_ACT_2002,parent,627,12,14,11,,,Amendment of bye-laws of a multi-state cooperative society,,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,,"11. Amendment of bye-laws of a multi-state cooperative society

(1) No amendment of any bye-law of a multi-state cooperative society

shall be valid, unless such amendment has been registered under th"
MSCS_ACT_2002_SEC_11_SUB_1,MSCS_ACT_2002,child,23,12,12,11,,,Amendment of bye-laws of a multi-state cooperative society,,METADATA_REVIEW,REVIEW,,"(1) No amendment of any bye-law of a multi-state cooperative society

shall be valid, unless such amendment has been registered under this Act."
MSCS_ACT_2002_SEC_11_SUB_2,MSCS_ACT_2002,child,34,12,12,11,,,Amendment of bye-laws of a multi-state cooperative society,,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,,"(2) The amendment to the bye-laws of a multi-state cooperative society

shall be made by a resolution passed by a two-third majority of the members present and voting at general meeting of the society"
MSCS_ACT_2002_SEC_11_SUB_3,MSCS_ACT_2002,child,22,12,12,11,,,Amendment of bye-laws of a multi-state cooperative society,,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,,"(3) No such resolution shall be valid unless fifteen clear days’ notice of

the proposed amendment has been given to the members."
MSCS_ACT_2002_SEC_11_SUB_4,MSCS_ACT_2002,child,237,13,13,11,,,Amendment of bye-laws of a multi-state cooperative society,,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,,"(4) In every case in which a multi-state cooperative society proposes to

amend its bye-laws, an application to register such amendments shall be made to the Central Registrar together with-

(a) a co"
MSCS_ACT_2002_SEC_11_SUB_5,MSCS_ACT_2002,child,26,13,13,11,,,Amendment of bye-laws of a multi-state cooperative society,,METADATA_REVIEW,REVIEW,,"(5) Every such application shall be made within sixty days from the

date of the general meeting at which such amendment to the bye-laws was passed."
MSCS_ACT_2002_SEC_11_SUB_6,MSCS_ACT_2002,child,40,13,13,11,,,Amendment of bye-laws of a multi-state cooperative society,,METADATA_REVIEW,REVIEW,,"(6) The procedure given in sub-sections (2) to (5) of this section shall

apply to the amendment of the bye-laws of a cooperative society desiring to convert itself into a multi-state cooperative soci"
MSCS_ACT_2002_SEC_11_SUB_7,MSCS_ACT_2002,child,74,13,14,11,,,Amendment of bye-laws of a multi-state cooperative society,,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,,"(7) If, on receipt of application under sub-section (5), the Central

Registrar is satisfied that the proposed amendment-

(a) is not contrary to the provisions of this Act or of the rules;

(b) does "
MSCS_ACT_2002_SEC_11_SUB_8,MSCS_ACT_2002,child,50,14,14,11,,,Amendment of bye-laws of a multi-state cooperative society,,METADATA_REVIEW,REVIEW,,"(8) The Central Registrar shall forward to the multi-state cooperative

society a copy of the registered amendment together with a certificate signed by him within a period of one month from the date "
MSCS_ACT_2002_SEC_11_SUB_9,MSCS_ACT_2002,child,112,14,14,11,,,Amendment of bye-laws of a multi-state cooperative society,,METADATA_REVIEW,REVIEW,,"(9) Where the Central Registrar refuses to register an amendment of

the bye-laws of a multi-state cooperative society, he shall communicate the order of refusal together with the reasons therefor to "
MSCS_ACT_2002_SEC_12,MSCS_ACT_2002,child,42,14,14,12,,,When amendment of bye-laws comes into force,,METADATA_REVIEW,REVIEW,,"12. When amendment of bye-laws comes into force

An amendment of the bye-laws of a multi-state cooperative society shall, unless it is expressed to come into operation on a particular day, come into f"
MSCS_ACT_2002_SEC_13,MSCS_ACT_2002,child,114,14,14,13,,,Change of name,,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,,"13. Change of name

(1) A multi-state cooperative society may, by an amendment of its bye-

laws, change its name but such change shall not affect any right or obligation of the multi-state cooperativ"
MSCS_ACT_2002_SEC_14,MSCS_ACT_2002,child,31,15,15,14,,,Change of address,,METADATA_REVIEW,REVIEW,,14. Change of address Every multi-state cooperative society shall have principal place of business and an address registered in the manner prescribed to which all notices and communications may be sen
MSCS_ACT_2002_SEC_15,MSCS_ACT_2002,child,197,15,15,15,,,Publication of name by multi state cooperative society,,METADATA_REVIEW,REVIEW,,"15. Publication of name by multi state cooperative society Every multi-state cooperative society-

(a) shall paint or affix its name and the address of its registered office

and keep the same painted"
MSCS_ACT_2002_SEC_16,MSCS_ACT_2002,child,285,15,16,16,,,Liability,,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,,"16. Liability

(1) No multi-state cooperative society with unlimited liability shall be

registered after the commencement of this Act:

Provided that where a multi-state cooperative society with unli"
MSCS_ACT_2002_SEC_17,MSCS_ACT_2002,parent,512,16,17,17,,,"Amalgamation or transfer of assets and liabilities, or division of",,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,,"17. Amalgamation or transfer of assets and liabilities, or division of multi-state cooperative societies

(1) A multi-state cooperative society may, by a resolution passed by a

majority of not less t"
MSCS_ACT_2002_SEC_17_SUB_1,MSCS_ACT_2002,child,74,16,16,17,,,"Amalgamation or transfer of assets and liabilities, or division of",,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,,"(1) A multi-state cooperative society may, by a resolution passed by a

majority of not less than two-thirds of the members, present and voting at a general meeting of the society held for the purpose"
MSCS_ACT_2002_SEC_17_SUB_2,MSCS_ACT_2002,child,44,16,16,17,,,"Amalgamation or transfer of assets and liabilities, or division of",,METADATA_REVIEW;TOPIC_TAG_REVIEW,REVIEW,,"(2) Any two or more multi-state cooperative societies may, by a

resolution passed by a majority of not less than two-thirds of the members present and voting at a general meeting of each such society"
